-1.44
9.54,-2.61,-1.50
9.54,-2.62,-1.48
9.52,-2.62,-1.47
9.54,-2.65,-1.48
9.46,-2.63,-1.48
9.53,-2.63,-1.47
9.53,-2.63,-1.48
9.52,-2.63,-1.52
9.60,-2.65,-1.48
9.58,-2.62,-1.43
9.54,-2.66,-1.47
9.63,-2.65,-1.47
9.53,-2.66,-1.46
9.58,-2.63,-1.47
9.53,-2.69,-1.33
9.64,-2.61,-1.41
9.54,-2.62,-1.45
9.59,-2.65,-1.42
9.61,-2.62,-1.46
9.52,-2.65,-1.43
9.51,-2.66,-1.42
9.57,-2.65,-1.48
9.55,-2.61,-1.48
9.50,-2.62,-1.46
9.53,-2.64,-1.59
9.57,-2.63,-1.48
9.53,-2.64,-1.44
9.54,-2.62,-1.46
9.59,-2.64,-1.39
9.57,-2.65,-1.45
9.53,-2.64,-1.47
9.55,-2.61,-1.50
9.45,-2.60,-1.45
9.56,-2.66,-1.47
9.53,-2.63,-1.48
9.49,-2.62,-1.59
9.51,-2.60,-1.46
9.54,-2.65,-1.45
9.54,-2.64,-1.52
9.50,-2.64,-1.45
9.52,-2.63,-1.44
9.50,-2.66,-1.30
9.50,-2.63,-1.37
9.56,-2.65,-1.42
9.56,-2.63,-1.45
9.55,-2.63,-1.30
9.52,-2.63,-1.48
9.59,-2.63,-1.45
9.54,-2.61,-1.42
9.41,-2.62,-1.41
9.56,-2.62,-1.48
9.54,-2.60,-1.48
9.42,-2.61,-1.46
9.57,-2.64,-1.44
9.53,-2.62,-1.45
9.49,-2.64,-1.53
9.53,-2.66,-1.46
9.53,-2.64,-1.46
9.53,-2.63,-1.40
9.56,-2.64,-1.46
9.55,-2.64,-1.46
9.55,-2.56,-1.47
9.51,-2.66,-1.48
9.50,-2.66,-1.47
9.52,-2.65,-1.46
9.48,-2.59,-1.52
9.57,-2.63,-1.46
9.56,-2.63,-1.48
9.52,-2.65,-1.38
9.46,-2.64,-1.46
9.57,-2.63,-1.48
9.55,-2.66,-1.43
9.57,-2.60,-1.47
9.52,-2.62,-1.46
9.54,-2.63,-1.47
9.53,-2.65,-1.47
9.60,-2.60,-1.47
9.52,-2.64,-1.46
9.51,-2.64,-1.47
