1196,14156
6152,1072,14208
6036,1048,14052
5996,972,14300
6016,1000,14240
6148,1052,14444
6100,1068,14452
6208,1188,14400
6136,1084,14196
6128,940,13860
6120,1036,14236
6044,1004,14148
6124,1012,13980
6080,1040,14104
6180,1116,14056
6140,996,14436
6156,980,14352
6232,960,14152
6276,1072,14284
6152,1152,14132
6004,940,14100
6220,1084,14188
6228,944,14136
6040,972,14292
6140,1004,14140
6116,1032,14216
6088,1036,13972
5996,860,14064
6108,1024,14116
6228,1060,14232
6256,1024,14236
6140,952,14232
6176,1040,14112
6092,1020,14244
6136,1000,14120
6100,1020,14188
6140,1008,14080
6160,1016,13960
6188,1080,14168
6088,1040,14260
6124,972,14244
6164,1004,14252
6204,1072,14084
6156,1104,14136
6152,908,13952
6196,1080,14104
5972,1088,13980
6088,940,14072
6068,1096,14036
6136,1016,14160
6120,1016,14212
6200,1152,14200
6200,1012,14332
6160,1080,14248
6112,952,14204
6160,1052,14120
6168,1020,14236
6040,964,14140
6116,1024,14024
5992,996,14148
6140,1040,14116
6112,1044,14176
6212,1064,14260
6156,1024,14316
6092,988,14296
6212,1100,14208
6192,1044,14040
6116,1008,14184
6068,960,14028
6152,996,14088
6092,1036,14132
6044,1008,14112
6152,960,13944
6096,1088,13948
6068,1080,14224
6228,1128,14140
6040,1076,14096
6192,1008,14392
6192,1020,14040
6128,1004,14192
6104,968,14192
6256,1012,14096
6228,1052,14072
6120,1008,14080
6124,1056,14276
6172,1076,14264
6144,1052,14380
6192,1036,14120
6172,1024,14012
6108,1056,14244
6024,1048,14140
6132,1012,14064
6148,1012,14112
6168,1028,14236
6144,1100,14212
6160,1100,14440
6144,956,14192
6088,1012,14204
6156,1016,14124
6064,964,14192
6092,972,14048
6140,912,14072
6064,1148,14048
6036,1040,14088
6104,1036,14172
6172,1104,14172
6092,1156,14264
6168,1028,14252
6296,1004,14208
6048,1056,14036
6088,1044,14160
6072,912,14244
6108,1032,14160
6100,1024,14220
6104,1080,14116
6168,1028,14168
6096,1092,14260
6188,1012,14236
6160,1004,14068
6176,1012,14128
6128,1016,14164
6064,1044,14212
6060,1060,14244
6172,1064,14200
6092,1132,14192
6096,964,14196
6172,1080,14180
6200,1104,14000
6244,1024,14276
6124,956,14104
6216,1044,14096
6096,1080,14016
6084,980,14068
6044,1068,14036
6124,1076,13988
6108,992,14268
6116,1040,14124
6216,1048,14300
6152,1028,14120
6208,996,14212
6140,992,14224
6160,1096,14104
6076,1032,14040
6188,1004,14156
6116,1036,14140
6068,1036,14296
6160,1072,14188
6196,980,14256
6172,1172,14304
6136,1128,14072
6132,1072,14080
6116,1012,14156
6012,1040,14072
6088,1068,14080
6080,908,14200
6056,1068,14100
6152,1000,14072
6168,1064,14192
6204,1092,14216
6212,1132,14084
6076,1168,14168
6128,992,14004
6056,932,14148
6164,1112,14140
6076,884,14060
5988,972,14076
6084,1032,14120
6100,1004,14148
6124,984,14064
6112,1092,14184
6132,1132,14208
6204,1068,13968
6184,1148,14288
6200,1000,14276
6036,1028,14100
6116,940,13996
6056,1064,14072
6116,1024,14084
6132,1100,14140
6128,1012,14052
6216,980,14300
6168,1000,14096
6172,1072,14216
6164,1068,14232
6064,992,14096
6124,1108,14128
6120,980,14232
6140,1012,14188
6112,1092,14048
5992,1112,14100
6120,1152,14144
6180,1088,14200
6104,1064,14192
6156,940,14352
6200,1076,14116
6048,988,14092
6100,996,14216
6216,1088,14288
6080,984,14188
6040,996,14236
6156,1128,14052
6156,940,14216
6176,1008,14108
6056,1056,14036
6104,1068,14220
6040,968,13976
6052,1024,14268
6116,1032,14288
6044,968,14300
6156,1028,14284
6156,980,14080
6328,1160,14240
6244,1096,14172
6160,1032,14180
6096,1064,14056
6032,984,14208
6128,876,14180
6132,1188,14084
6008,1136,14076
6200,1092,14216
6288,976,14128
6220,1096,14032
6280,1116,14176
6104,1080,14164
6200,992,14208
6016,972,14128
6104,1096,14088
6264,1060,14036
6132,1040,14100
6096,1096,14200
6128,1000,14228
6196,1116,14312
6176,984,14288
6144,1004,14260
6232,1120,14172
6192,1188,14172
6140,980,14172
6036,1036,14120
6112,1052,14088
6116,1044,14096
6116,1148,14200
6136,1036,14328
6172,1152,13988
6044,1032,14328
6204,1020,14348
6084,980,14120
6108,1068,14236
6128,868,14372
6020,964,13996
6080,1092,13940
6092,1060,14096
6072,996,14076
6088,1120,14352
6112,1112,14100
6096,992,14196
6076,1128,14116
6196,1092,14200
6052,1040,14336
6048,1032,14108
6216,1060,14032
6080,1012,14112
6140,1076,14024
6120,1100,14164
6080,1064,14224
6244,1024,14272
6092,1072,14468
6104,1144,14220
6060,988,14108
6256,1020,14160
6132,1040,14128
6116,980,14040
6048,1044,14080
6132,1112,14116
6180,916,14176
6228,1048,14088
6184,1164,14436
6140,996,14144
6160,1004,14292
6192,996,14360
6108,1136,14112
6096,1088,14196
6200,976,14220
6104,1056,14252
6056,1012,14144
6084,1096,14156
6080,1092,14180
6192,1120,14160
6096,1100,14368
6104,1052,14088
6208,1108,14168
6128,1084,14172
5984,1016,14104
6116,976,14064
6092,1016,14028
5956,1044,14064
5904,1060,14308
6096,1044,14036
5992,1112,14236
6256,1068,14284
6384,1156,13924
6180,956,14004
6068,1016,14452
6088,1064,14008
6180,1104,14132
5904,1168,14084
5860,920,14224
6200,1044,14284
6216,1012,14280
6140,1224,14184
6116,1044,14276
6056,1028,14012
6172,992,14028
6172,936,14052
6164,912,14276
6112,1036,14156
6016,1024,14212
6156,1064,14052
6272,884,13924
5952,1156,14220
6100,1056,14052
6136,1044,14112
6180,1064,14232
6164,1020,14160
6228,1000,14064
6044,1116,14048
6120,1024,14100
6052,1052,14160
6128,1036,14160
6164,1216,14296
6264,1096,14124
5968,1140,14084
6172,960,14104
6124,1020,14384
6032,1080,14020
6116,1120,14132
6044,1108,14220
6072,984,14136
6160,1140,14216
6176,1072,14276
6112,1100,14248
6140,1080,14120
6064,1036,14232
6132,1064,14116
6024,968,13972
6044,1100,14080
6144,980,14208
6140,932,14208
6124,1044,13976
6084,1068,14280
6076,1060,14296
6160,1040,14196
6116,1080,14168
6064,1080,14104
6092,1092,14248
6080,1024,14236
6084,1040,14156
6060,980,14180
5784,1204,14148
6104,988,14160
6060,1060,14696
6180,616,15380
6132,1248,14048
6216,1048,14372
6088,920,14476
6188,1224,14252
6260,1064,14112
6044,916,14104
6096,1040,13936
6072,1140,14144
6200,980,14132
6320,1104,14672
6120,1116,14400
5960,1436,1
,13984
6584908
6604,3772,13648
7024,3772,13596
6672,3832,13488
6468,3688,13572
6396,3652,13368
6508,3788,13932
6928,3708,13984
6584,3756,13900
6532,3844,13944
6892,3796,13704
6708,3864,13628
6284,3460,13408
6112,3456,13568
6804,3632,13864
6628,3812,14024
6584,3684,14028
6684,3796,14088
6388,3632,13648
6204,3572,13524
6552,3516,13564
6720,3632,13528
6740,3640,13840
6108,3424,13896
6800,3784,14028
6384,3628,13872
6380,3660,13760
6276,3640,13584
6656,3684,13544
