4,596,14176
6104,488,14240
6516,436,14384
6312,852,13788
6132,512,14268
6332,872,14464
6312,932,14004
6168,500,14372
6064,916,14576
6256,572,14120
6348,704,14712
6212,752,14276
6140,644,14392
6132,644,14204
6280,520,14664
6116,572,14048
6140,744,14328
6244,644,14704
6060,612,14120
6108,752,14044
6320,960,13864
6128,772,14384
6232,788,14452
6192,640,14428
6648,896,14340
6192,840,14176
6312,832,15368
6256,680,14228
6112,848,13916
6112,620,14552
5624,716,14356
6212,1224,13292
6100,840,14360
5884,828,13392
6196,1088,13988
6404,900,13640
6736,1024,13160
6036,792,14436
5964,932,14168
5964,224,13368
5956,1748,14908
5872,644,15516
6536,984,14548
5952,688,13960
6176,784,14540
6004,828,13876
5892,668,15328
6088,920,13980
6128,912,13928
5956,732,14448
6432,1520,13072
6096,1104,14168
6104,820,15332
5908,676,14232
6180,1080,14616
6280,1004,14528
6332,1228,14936
6212,964,13684
6280,1344,13208
6016,740,15976
6300,1116,14372
6572,1176,15396
5848,1232,15004
5836,1312,14060
6288,888,14548
5508,1384,14004
6552,1400,13656
5300,1584,13596
7020,1196,15460
4376,1384,13216
6392,1100,14364
5936,952,14304
6172,1064,14192
7540,268,14996
5572,1628,12788
6556,1320,12916
6384,936,17368
6576,968,14936
6256,936,14632
6036,996,14032
6196,980,14184
5840,728,14256
5960,652,15020
6380,1556,14772
5460,1320,12724
6364,1088,14172
6188,732,14328
5316,212,12876
6096,748,14948
5872,640,13900
5816,32,15848
6696,792,16652
6912,996,14312
4488,744,10480
6108,-228,15228
6420,448,16228
5412,200,13596
5180,364,14360
4932,1588,10200
5080,636,14144
5568,796,13396
3312,548,7780
6912,176,21924
5888,1292,14252
5792,1188,13944
5840,1016,15192
6076,1160,14800
5756,1232,13848
6116,1144,14408
5808,1300,14444
5672,1548,13300
6176,1672,14480
6024,1400,14272
6076,1460,14264
5808,1316,15144
5772,1652,14124
6016,964,15260
5720,900,15404
6244,556,15100
3056,184,18596
6352,1388,13152
6008,1596,15180
7344,2260,13252
5944,716,15388
6156,1556,13236
5992,800,15248
5872,-432,17672
5796,1104,14288
6232,1240,14700
5884,1440,13580
5600,320,15440
5552,412,13784
5336,900,14468
6080,1424,13804
5764,1376,14276
5968,1348,14400
6032,1576,14588
6060,1572,14524
5800,1440,15296
6684,1652,14508
6088,1160,15548
5652,1388,13244
5900,1104,14348
5980,1276,13864
6136,1268,14188
5760,1688,11624
6228,536,16868
6096,1552,14924
6532,1964,14900
6520,1156,15348
5560,1152,15232
5948,1416,14692
5852,1348,14608
6112,1480,14548
5992,1280,15348
6724,1328,14060
6076,1624,14372
5860,1532,13820
5848,1288,14180
5828,1240,14504
5816,1308,14124
5948,1460,14368
5992,1512,14516
6008,1456,14608
5968,1504,14108
5960,1292,15152
6004,1528,12804
5856,1372,13948
5836,1552,13860
5904,1192,15204
